IEEE Trans. Knowl. Data Eng.,1,1989.0
IEEE Trans. Knowl. Data Eng.,7,1995.0
IEEE Trans. Knowl. Data Eng.,8,1996.0
IEEE Trans. Knowl. Data Eng.,5,1993.0
IEEE Trans. Knowl. Data Eng.,10,1998.0
IEEE Trans. Knowl. Data Eng.,6,1994.0
IEEE Trans. Knowl. Data Eng.,9,1997.0
IEEE Trans. Knowl. Data Eng.,4,1992.0
IEEE Trans. Knowl. Data Eng.,3,1991.0
IEEE Trans. Knowl. Data Eng.,2,1990.0
Computational Statistics & Data Analysis,55,2011.0
Applied Categorical Structures,22,2014.0
SIGMOD Record,27,1998.0
SIGMOD Record,28,1999.0
SIGMOD Record,13,1982.0
SIGMOD Record,29,2000.0
SIGMOD Record,11,1981.0
SIGMOD Record,13,1983.0
SIGMOD Record,18,1989.0
SIGMOD Record,14,1984.0
Expert Syst. Appl.,39,2012.0
Expert Syst. Appl.,63,2016.0
Expert Syst. Appl.,42,2015.0
ACM Trans. Database Syst.,21,1996.0
ACM Trans. Database Syst.,7,1982.0
ACM Trans. Database Syst.,14,1989.0
ACM Trans. Database Syst.,4,1979.0
ACM Trans. Database Syst.,18,1993.0
ACM Trans. Database Syst.,11,1986.0
ACM Trans. Database Syst.,5,1980.0
ACM Trans. Database Syst.,6,1981.0
ACM Trans. Database Syst.,19,1994.0
ACM Trans. Database Syst.,17,1992.0
ACM Trans. Database Syst.,13,1988.0
ACM Trans. Database Syst.,1,1976.0
ACM Trans. Database Syst.,16,1991.0
ACM Trans. Database Syst.,10,1985.0
ACM Trans. Database Syst.,2,1977.0
ACM Trans. Database Syst.,9,1984.0
ACM Trans. Database Syst.,12,1987.0
ACM Trans. Database Syst.,3,1978.0
ACM Trans. Database Syst.,15,1990.0
ACM Trans. Database Syst.,23,1998.0
ACM Trans. Database Syst.,20,1995.0
ACM Trans. Database Syst.,22,1997.0
ACM Trans. Database Syst.,8,1983.0
ACM Trans. Database Syst.,24,1999.0
Journal of Systems Architecture - Embedded Systems Design,58,2012.0
Neural Computing and Applications,24,2014.0
Commun. ACM,35,1992.0
Commun. ACM,39,1996.0
Commun. ACM,13,1970.0
Commun. ACM,40,1997.0
Commun. ACM,34,1991.0
Commun. ACM,38,1995.0
Commun. ACM,37,1994.0
Commun. ACM,41,1998.0
Commun. ACM,42,1999.0
Electr. Notes Theor. Comput. Sci.,222,2009.0
J. Symb. Comput.,41,2006.0
VLDB J.,4,1995.0
VLDB J.,6,1997.0
VLDB J.,7,1998.0
VLDB J.,5,1996.0
VLDB J.,3,1994.0
VLDB J.,1,1992.0
VLDB J.,2,1993.0
VLDB J.,8,1999.0
VLDB J.,8,2000.0
I. J. Medical Informatics,82,2013.0
ACM Comput. Surv.,19,1987.0
ACM Comput. Surv.,28,1996.0
ACM Comput. Surv.,18,1986.0
ACM Comput. Surv.,17,1985.0
ACM Comput. Surv.,11,1979.0
ACM Comput. Surv.,22,1990.0
ACM Comput. Surv.,26,1994.0
ACM Comput. Surv.,14,1982.0
ACM Comput. Surv.,21,1989.0
ACM Comput. Surv.,13,1981.0
ACM Comput. Surv.,27,1995.0
ACM Comput. Surv.,16,1984.0
ACM Comput. Surv.,8,1976.0
ACM Comput. Surv.,30,1998.0
ACM Comput. Surv.,20,1988.0
ACM Comput. Surv.,9,1977.0
ACM Comput. Surv.,10,1978.0
ACM Comput. Surv.,15,1983.0
ACM Comput. Surv.,23,1991.0
ACM Comput. Surv.,25,1993.0
ACM Comput. Surv.,24,1992.0
Signal Processing,127,2016.0
IEEE Data Eng. Bull.,16,1993.0
IEEE Data Eng. Bull.,20,1997.0
IEEE Data Eng. Bull.,17,1994.0
IEEE Data Eng. Bull.,21,1998.0
IEEE Data Eng. Bull.,19,1996.0
IEEE Data Eng. Bull.,18,1995.0
IEEE Data Eng. Bull.,15,1992.0
IEEE Data Eng. Bull.,14,1991.0
IEEE Data Eng. Bull.,22,1999.0
ACM SIGMOD Digital Review,2,2000.0
ACM SIGMOD Digital Review,1,1999.0
ACM SIGMOD Digital Review,3,2001.0
Computers & Mathematics with Applications,63,2012.0
Applied Mathematics and Computation,273,2016.0
J. Symb. Log.,69,2004.0
BMC Systems Biology,8,2014.0
Finance and Stochastics,20,2016.0
Pattern Recognition Letters,28,2007.0
Pattern Recognition Letters,34,2013.0
Journal of Biomedical Informatics,62.0,2016.0
Computing,97.0,2015.0
Appl. Math. Lett.,26,2013.0
Robotics and Autonomous Systems,77,2016.0
Computers & Education,86,2015.0
Informatik Spektrum,35,2012.0
